WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=52662:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 7493


Count of Edges = 4 , Packets = 1000, nanotimes = 7731


Count of Edges = 4 , Packets = 1000, nanotimes = 6944


Count of Edges = 4 , Packets = 1000, nanotimes = 7116


Count of Edges = 4 , Packets = 1000, nanotimes = 6933


Count of Edges = 4 , Packets = 1000, nanotimes = 7725


Count of Edges = 4 , Packets = 1000, nanotimes = 7370


Count of Edges = 4 , Packets = 1000, nanotimes = 7062


Count of Edges = 4 , Packets = 1000, nanotimes = 7312


Count of Edges = 4 , Packets = 1000, nanotimes = 7289


Count of Edges = 4 , Packets = 1000, nanotimes = 7195


Count of Edges = 4 , Packets = 1000, nanotimes = 6948


Count of Edges = 4 , Packets = 1000, nanotimes = 8241


Count of Edges = 4 , Packets = 1000, nanotimes = 7190


Count of Edges = 4 , Packets = 1000, nanotimes = 7293


Count of Edges = 4 , Packets = 1000, nanotimes = 7741


Count of Edges = 4 , Packets = 1000, nanotimes = 6753


Count of Edges = 4 , Packets = 1000, nanotimes = 8164


Count of Edges = 4 , Packets = 1000, nanotimes = 7126


Count of Edges = 4 , Packets = 1000, nanotimes = 7984


Count of Edges = 4 , Packets = 1000, nanotimes = 7632


Count of Edges = 4 , Packets = 1000, nanotimes = 7601


Count of Edges = 4 , Packets = 1000, nanotimes = 7246


Count of Edges = 4 , Packets = 1000, nanotimes = 8583


Count of Edges = 4 , Packets = 1000, nanotimes = 7495


Count of Edges = 4 , Packets = 1000, nanotimes = 6671


Count of Edges = 4 , Packets = 1000, nanotimes = 7337


Count of Edges = 4 , Packets = 1000, nanotimes = 7703


Count of Edges = 4 , Packets = 1000, nanotimes = 7569


Count of Edges = 4 , Packets = 1000, nanotimes = 7316


Count of Edges = 4 , Packets = 1000, nanotimes = 7038


Count of Edges = 4 , Packets = 1000, nanotimes = 7046


Count of Edges = 4 , Packets = 1000, nanotimes = 6701


Count of Edges = 4 , Packets = 1000, nanotimes = 7619


Count of Edges = 4 , Packets = 1000, nanotimes = 6601


Count of Edges = 4 , Packets = 1000, nanotimes = 7309


Count of Edges = 4 , Packets = 1000, nanotimes = 8026


Count of Edges = 4 , Packets = 1000, nanotimes = 6670


Count of Edges = 4 , Packets = 1000, nanotimes = 8629


Count of Edges = 4 , Packets = 1000, nanotimes = 8027


Count of Edges = 4 , Packets = 1000, nanotimes = 7112


Count of Edges = 4 , Packets = 1000, nanotimes = 7722


Count of Edges = 4 , Packets = 1000, nanotimes = 7362


Count of Edges = 4 , Packets = 1000, nanotimes = 7055


Count of Edges = 4 , Packets = 1000, nanotimes = 7872


Count of Edges = 4 , Packets = 1000, nanotimes = 6389


Count of Edges = 4 , Packets = 1000, nanotimes = 8099


Count of Edges = 4 , Packets = 1000, nanotimes = 6567


Count of Edges = 4 , Packets = 1000, nanotimes = 6840


Count of Edges = 4 , Packets = 1000, nanotimes = 6915


Count of Edges = 4 , Packets = 1000, nanotimes = 6875


Count of Edges = 4 , Packets = 1000, nanotimes = 7762


Count of Edges = 4 , Packets = 1000, nanotimes = 7477


Count of Edges = 4 , Packets = 1000, nanotimes = 6692


Count of Edges = 4 , Packets = 1000, nanotimes = 7107


