WARNING: Use --illegal-access=warn to enable warnings of further illegal reflective access operations
WARNING: All illegal access operations will be denied in a future release
# JMH version: 1.19
# VM version: JDK 11.0.5, VM 11.0.5+10-b520.30
# VM invoker: C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\jbr\bin\java.exe
# VM options: -javaagent:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\lib\idea_rt.jar=53013:C:\Program Files\JetBrains\IntelliJ IDEA 2019.3.2\bin -Dfile.encoding=UTF-8
# Warmup: 3 iterations, 1 s each
# Measurement: 5 iterations, 1 s each
# Timeout: 10 min per iteration
# Threads: 1 thread, will synchronize iterations
# Benchmark mode: Average time, time/op
# Benchmark: simple.Main.measureName
# Parameters: (count = 4, maxQueries = 1000)

# Run progress: 0,00% complete, ETA 00:10:24
# Fork: 1 of 1
# Warmup Iteration   1: 
Count of Edges = 4 , Packets = 1000, nanotimes = 11186


Count of Edges = 4 , Packets = 1000, nanotimes = 8828


Count of Edges = 4 , Packets = 1000, nanotimes = 10346


Count of Edges = 4 , Packets = 1000, nanotimes = 9505


Count of Edges = 4 , Packets = 1000, nanotimes = 10602


Count of Edges = 4 , Packets = 1000, nanotimes = 10177


Count of Edges = 4 , Packets = 1000, nanotimes = 8400


Count of Edges = 4 , Packets = 1000, nanotimes = 14466


Count of Edges = 4 , Packets = 1000, nanotimes = 11937


Count of Edges = 4 , Packets = 1000, nanotimes = 11014


Count of Edges = 4 , Packets = 1000, nanotimes = 9648


Count of Edges = 4 , Packets = 1000, nanotimes = 10325


Count of Edges = 4 , Packets = 1000, nanotimes = 8353


Count of Edges = 4 , Packets = 1000, nanotimes = 10056


Count of Edges = 4 , Packets = 1000, nanotimes = 9466


Count of Edges = 4 , Packets = 1000, nanotimes = 11096


Count of Edges = 4 , Packets = 1000, nanotimes = 10320


Count of Edges = 4 , Packets = 1000, nanotimes = 7599


Count of Edges = 4 , Packets = 1000, nanotimes = 9913


Count of Edges = 4 , Packets = 1000, nanotimes = 7934


Count of Edges = 4 , Packets = 1000, nanotimes = 11093


Count of Edges = 4 , Packets = 1000, nanotimes = 8527


Count of Edges = 4 , Packets = 1000, nanotimes = 10958


Count of Edges = 4 , Packets = 1000, nanotimes = 10828


Count of Edges = 4 , Packets = 1000, nanotimes = 9968


Count of Edges = 4 , Packets = 1000, nanotimes = 11761


Count of Edges = 4 , Packets = 1000, nanotimes = 12095


Count of Edges = 4 , Packets = 1000, nanotimes = 9133


Count of Edges = 4 , Packets = 1000, nanotimes = 9459


Count of Edges = 4 , Packets = 1000, nanotimes = 8527


Count of Edges = 4 , Packets = 1000, nanotimes = 7914


Count of Edges = 4 , Packets = 1000, nanotimes = 10964


Count of Edges = 4 , Packets = 1000, nanotimes = 10553


Count of Edges = 4 , Packets = 1000, nanotimes = 9632


Count of Edges = 4 , Packets = 1000, nanotimes = 9281


Count of Edges = 4 , Packets = 1000, nanotimes = 8704


Count of Edges = 4 , Packets = 1000, nanotimes = 9874


Count of Edges = 4 , Packets = 1000, nanotimes = 10889


Count of Edges = 4 , Packets = 1000, nanotimes = 11040


Count of Edges = 4 , Packets = 1000, nanotimes = 9222


Count of Edges = 4 , Packets = 1000, nanotimes = 9657


Count of Edges = 4 , Packets = 1000, nanotimes = 9253


Count of Edges = 4 , Packets = 1000, nanotimes = 7247


Count of Edges = 4 , Packets = 1000, nanotimes = 10958


Count of Edges = 4 , Packets = 1000, nanotimes = 10581


Count of Edges = 4 , Packets = 1000, nanotimes = 7759


Count of Edges = 4 , Packets = 1000, nanotimes = 10458


Count of Edges = 4 , Packets = 1000, nanotimes = 9322


Count of Edges = 4 , Packets = 1000, nanotimes = 8986


Count of Edges = 4 , Packets = 1000, nanotimes = 7253


Count of Edges = 4 , Packets = 1000, nanotimes = 10678


Count of Edges = 4 , Packets = 1000, nanotimes = 8869


Count of Edges = 4 , Packets = 1000, nanotimes = 8626


Count of Edges = 4 , Packets = 1000, nanotimes = 8629


Count of Edges = 4 , Packets = 1000, nanotimes = 8314


Count of Edges = 4 , Packets = 1000, nanotimes = 10866


Count of Edges = 4 , Packets = 1000, nanotimes = 9034


Count of Edges = 4 , Packets = 1000, nanotimes = 11045


Count of Edges = 4 , Packets = 1000, nanotimes = 10522


Count of Edges = 4 , Packets = 1000, nanotimes = 11719


Count of Edges = 4 , Packets = 1000, nanotimes = 11802


Count of Edges = 4 , Packets = 1000, nanotimes = 11630


Count of Edges = 4 , Packets = 1000, nanotimes = 8284


Count of Edges = 4 , Packets = 1000, nanotimes = 10408


Count of Edges = 4 , Packets = 1000, nanotimes = 8602


Count of Edges = 4 , Packets = 1000, nanotimes = 10576


Count of Edges = 4 , Packets = 1000, nanotimes = 13058


Count of Edges = 4 , Packets = 1000, nanotimes = 11625


Count of Edges = 4 , Packets = 1000, nanotimes = 15092


Count of Edges = 4 , Packets = 1000, nanotimes = 9878


Count of Edges = 4 , Packets = 1000, nanotimes = 10908


Count of Edges = 4 , Packets = 1000, nanotimes = 7295


Count of Edges = 4 , Packets = 1000, nanotimes = 9070


Count of Edges = 4 , Packets = 1000, nanotimes = 8674


Count of Edges = 4 , Packets = 1000, nanotimes = 9546


Count of Edges = 4 , Packets = 1000, nanotimes = 7585


Count of Edges = 4 , Packets = 1000, nanotimes = 10799


Count of Edges = 4 , Packets = 1000, nanotimes = 5938


Count of Edges = 4 , Packets = 1000, nanotimes = 9470


Count of Edges = 4 , Packets = 1000, nanotimes = 8693


Count of Edges = 4 , Packets = 1000, nanotimes = 9267


Count of Edges = 4 , Packets = 1000, nanotimes = 10895


